,Unnamed: 0,Date,sentiment,Tweet
108,108,2022-05-13 ,Negative,"Price Action : Avoid Trap of operater -a thread that i will post on 
1st June 2022..set @remindmetweets 
#StockMarket 
#lifestyle 
#stockprice 
#Niftybank"
109,109,2022-05-12 ,Positive,Today #Shell announced transaction (3.698.000) in own shares for cancellation. These shares purchases form part of Shell's share buy back arrangement previously announced on 5 May. 2022. It supports the #stockprice of Shell. #dividend #oil #oilprices #StockToWatch #stockmarkets
110,110,2022-04-25 ,Neutral,"So what happens now when @elonmusk pops molly, starts tweeting, and manipulates #Twitter's #stockprice?"
111,111,2022-04-25 ,Positive,"The growth in the stock price of BAJAJ FINANCE over the years ⬇️

•2002    5.75
• 2007   37.65
• 2012     90.76
• 2017      1376
• 2022     6075
• 52-wk high: 8050 🚀

#BajajFinance #StockPrice #Finance #Bajaj"
112,112,2022-04-23 ,Neutral,"The fact that #Gamestop stock is approx. 7x what #Peloton stock price is says a lot about the stock market / casino we are witnessing.

#StockMarket #stockprice #gaming #business"
113,113,2022-04-21 ,Positive,"#StockMarket @AshVerma111 @NeerajCNBC 
Can we expect a rally in #BPCL #stockprice 
I bought 40 shares in BPCL@ 390
When can I sell?"
114,114,2022-04-20 ,Neutral,Hey @Netflix_CA how's that last price jump going for you?  #strawthatbrokethecamelsback #stockprice
115,115,2022-04-15 ,Neutral,"Why did ALL #socialmedia platforms have a #meteoric rise in #stockprice when #Biden/#Harris were put into office, 
THEN,
#nosedive back into reality?

WHO got #screwed?
By WHO?

#tcot #maga #LetsGoBrandon"
116,116,2022-04-07 ,Neutral,"Why does #Trident price not going up from long time?
What is the secret behind it? 🤔
#tridentshareprice #Share #sharemarket
#StockMarket #stockprice"
117,117,2022-03-26 ,Positive,"🚨Fandex #CollegeBasketball #MarchMadness #StockPrice Update📈💸: #Miami 🆙 27.06 per share, #Kansas 🆙 16.30 per share, #UNC 🆙 28.62 per share, #StPeters 🆙 🔝37.73 per share."
118,118,2022-03-25 ,Neutral,"Why Do Stock Price Fluctuates ?

Thread 🧵

#stockprice #traderwisdom #demandandsupply #Nifty #traderwisdom #Trade"
119,119,2022-03-22 ,Positive,"Now will the #stockprice of #Zomato be effected after the recent announcement of #10minutedelivery of food. I see 3 out 5 tweets on the same. Guess no one is even interested in literal fast food, then why is every ecommerce startup getting into these under 10 min deliveries 🤷🏻‍♂️"
120,120,2022-03-09 ,Positive,"When the markets open it will interesting to see what happens to #McDonalds stock price with the recent statement that they will be exiting #Russia. 

Sidebar: Russia accounts for 9% of #McDonalds revenue globally (850 locations).

#business #stock #revenue #stockprice #economics"
121,121,2022-02-23 ,Neutral,"Thinking about how will the news of #ActivisionBlizzard announcing that they are delaying the release of #CallofDuty till 2023 impact its stock price. 

Potential discount maybe?

#gaming #stockprice #business"
122,122,2022-01-22 ,Positive,"“The only #stockprice that matters is the one you #sell at, everything else is entertainment.”"
123,123,2022-01-10 ,Positive,"All those creating #memes and what have you on the #stockprice of @paytm, time to take a pause here.

If it could do #IPO at that price &amp; come here then it can also get back at that price again. @vijayshekhar may be slowest at laughing but might life better than all. 

#goodnight"
124,124,2021-12-30 ,Negative,"While the whole smaller pvt banking space is depressed by RBL ... ""Fiasco, Indusind""  is making new  Weekly high .. #Pricedoesntlie #stockprice #rblbank #banking"
125,125,2021-12-27 ,Neutral,Gold and stock prices will have a bigger impact on CryptoMarkets in 2022. #GoldPrice #StockPrice
126,126,2021-12-14 ,Neutral,#PMCBankCrisis keep tweeting &amp; tagging @CentrumIndia @bharatpeindia it impacts their #StockPrice keep it up -ve tweets @Ashneer_Grover
127,127,2021-12-09 ,Positive,"#VodafoneIdea is like that Ex, which became hot after break-up😭📈
.
#vi #stockprice #₹16.50"
128,128,2021-11-21 ,Neutral,I am still waiting @CoinbaseSupport give me back my money. It’s not a 100$ we are talking about here. #GYEN #Coinbase #cryptocurrency #CoinMarketCap @CoinbaseNews @CoinbasePro @coinbase #stockprice will go down.
129,129,2021-10-22 ,Negative,#automobiles are built with #corldrolledsteel #miles of #copper &amp; #chips! Every #rawmaterial is up 100%+! 50% car sales on #chipshortage! Yet #tatamotor #stockprice is up 60% in 1 month ! No amount of #market #alchemy #marketgodfather buying can make #tatamotor #shareprice hold !
130,130,2021-10-20 ,Negative,#avenuesupermartsltd #dmart is another #aliceinwonderland #distraction.market cap is near double of #tesco(seriously?). PE:262 can put #google #starbucks to #shame! 93% is with promoters/institutions! So in this #stockprice #houseofcards price rests precariously on no one selling
131,131,2021-10-09 ,Neutral,"On Friday,
 @zomato stock price surged by 1% in noon time. Because I ordered food without using coupon code. 😅

#zomato #stock #stockmarket #nse #bse #stockprice 
@zomatocare"
132,132,2021-10-07 ,Neutral,"#Dividend is mostly result of business
#StockPrice is mostly result of market."
133,133,2021-09-11 ,Neutral,"This week in alphaniketan, we talk about Bear Markets, Millennials and Generation Z.

#bearmarket #earnings #equity #finance #forecasts #genz #investing #longterm #millennials #newinvestors #risk #stockmarket #stockprice #stockreturns #stocks #alphaniketan @FinMedium"
134,134,2021-08-31 ,Neutral,"ITC is really testing the Patience 😊

#ITC #StockPrice"
135,135,2021-08-16 ,Neutral,"Dividend Alert

JK TYRE LTD 
Market Price- Rs. 159.65
Dividend Price- Rs. 2 per share
Ex- Date- 18/08/2021

#Dividend #JKTyres #StockMarket #Stockprice"
136,136,2021-08-16 ,Neutral,"Dividend Alert

JK TYRE LTD 
Market Price- Rs. 159.65
Dividend Price- Rs. 2 per share
Ex- Date- 18/08/2021

#Dividend #JKTyres #StockMarket #Stockprice"
137,137,2021-08-11 ,Positive,"Stock volatility measures how variable a #StockPrice is in a certain period of time. 

If a stock moves to the extreme in either direction more frequently than it stays steady it’s volatile and that equals #risky"
138,138,2021-08-02 ,Neutral,"When the stock crosses below or above the #movingaverage, a price crossover occurs. Keep this technical indicator in mind while plotting #stockprice trends in the future."
139,139,2021-07-25 ,Negative,Follow Mark Minervini template stock price above 50&gt;150&gt;200 moving average; #stockprice &gt; minimum 25% abv 52W low &lt;25% 52W high; RS line trending up for 6W; RS ranking above 90 #technicalanalysis
140,140,2021-07-01 ,Positive,"Some key Factors impacting stock price of a company:
Company performance. eg Performance of business, Key Decisions
Market sentiment. eg Bear, Bull trend
Sector performance. eg Current metal bullishness
Government policy. eg Interest rates
#stockprice #nifty #sensex #StockMarket"
141,141,2021-06-25 ,Neutral,Nike’s stock price today just mimicked the shape of the logo. Can you think of any other times that happened? FedEx? AMD? Citroën? Chevron? #nike #stockprice #investing #motleyfool
142,142,2021-06-22 ,Positive,How is #tesla doing with their $ 1.5 billion #Bitcoin asset @elonmusk I guess the #stockprice is going to plummet! Maybe buy far out out of the money put options. #wallstreetjournal #financialtimes
143,143,2021-06-17 ,Positive,"#marketupdate

- BLS International Services Ltd stock price has rallied more than 200 percent in the last year compared to about a 60 percent rally in the Nifty during the same period.

#news #investonline #Rupee #Dollar #sensex #Nifty #CrudeOil #BLS #stockprice #COVID19 #india"
144,144,2021-06-17 ,Negative,"#marketupdate

- Crude oil prices dipped on Thursday as a stronger U.S. dollar brought them off multi-year highs, but losses were limited by a big drop in U.S. crude oil inventories.

#news #investonline #Rupee #Dollar #sensex #Nifty #CrudeOil #BLS #stockprice #COVID19 #india"
145,145,2021-06-15 ,Positive,"#APACmarkets are a mixed bag today. Australia, India and the US markets are at their respective record high levels. 
#stockprice #marketupdate #stockmarket"
146,146,2021-06-09 ,Positive,"Shares of @prestigegroup Prestige Estate Projects Ltd surged more than 8% on the NSE. This was due to robust Q4 earnings and debt reduction.

#prestige #NSE #nseindia #shareprice #stockprice #quarterearnings #earnings #EarningsReport #debt"
147,147,2021-06-04 ,Positive,"Any #SofftwareDevelopers out there know of any good #API services for #StockPrice history? Would love to hear your experience. Asking for a friend.

Meanwhile, have a great weekend everybody!"
148,148,2021-06-03 ,Neutral,F #fordlightning  stock +5.00 points up .. it may hit six points soon .. #stockprice $15.75
149,149,2021-05-18 ,Positive,"#StockVolatility measures how variable a #StockPrice is in a certain period of time. 

If a stock moves to the extreme in either direction more frequently than it stays steady it’s volatile and that equals #risky"
150,150,2021-05-07 ,Negative,"Warren Buffett broke @Nasdaq, Berkshire Hathaway’s stock  price is too high for #Nasdaq’s trading computer.
Price of one Berkshire Hathaway stock is over $4,21,000.

Follow for More.
.
.
#WarrenBuffett #BerkshireHathaway #TradingComputer #Trader #Investor #Stock #StockPrice"
151,151,2021-05-04 ,Neutral,"DealerAdvance CE Stock Quote  0.0002. DLAD - $DLAD $BIG #StockMarket Volume
 Perceds  #StockPrice, News, Charts, Message Board, Trades http s://ih.advfn.com/stock-market/USOTC/dealeradvance-ce-DLAD/stock-price via #anotherone  #wallstreetsurfers #stockalert #goldequityinvesters"
152,152,2021-04-30 ,Positive,"Hugh just made a gain of 7.2% on SPY 418 calls! 🛎️

#DayTradeSPY #stockoptions #results #gains #stockpicks #stockprice #optionstrading #daytrading"
153,153,2021-04-24 ,Neutral,"Why @Intel #INTC is a #Buy for #me?

#MarketCap (mm): $252,657.7
#SharesOut. (mm): 4,038.0
#StockPrice: $62.57
#Float %: 99.9%
#SharesSoldShort (mm): 57.0"
154,154,2021-04-24 ,Negative,"#NoteToSelf : stop checking #amc and #gme #stockprice. MARKET IS CLOSED!!!! 

#AMCPARTY #AMCDAY #amcshortsqueeze 
#GMEDay #GMEtothemoon"
155,155,2021-03-30 ,Positive,#PowellPut FREE MONEY Forever &amp; #WallStreet #StockPrice Guarantee Created a MASSIVE LEVERAGE BUBBLE Soon To Collapse.😟 #msnbc #foxnews #nytimes #cnn #wsj #cnbc #politico #huffpost #newsmax #oan #gop #npr #fox #nyt #wapo #nbc #cbs #aarp #biden #pbs #nyt #ecb #eu #china #fed
156,156,2021-03-11 ,Positive,"What is the key to #trade successfully?

Seperate the good from the bad. 

It will lead you to be profitable.

#BeTheBest #sprzedaż #gospodarka #investing #business #StocksToBuy #Sales #Economy #StockMarket #StockPrice #WorkFromHome #Success"
157,157,2021-02-22 ,Negative,What is common about Feb2020 and Feb2021.? COVID cases started to alarm with the rise in numbers and stock market started to alarm with the decline in stock prices #CoronaVirusUpdates #StockMarket #COVID #stocktips #investmentstrategy #stockprice
158,158,2021-02-06 ,Positive,"#marketupdate

- ICICIBC reported a strong earnings of Rs49.4bn (PLe: Rs40.9bn) led by all round performance on core operations and slightly lower provisioning

#news #investonline #ipo #LIC #icicibank #finance #stockprice #COVID19 #India"
159,159,2021-02-02 ,Neutral,"India's most established startup: #tatamotors 

#stockprice"
160,160,2021-02-02 ,Positive,"A CEO becomes Great not by the Stock Price of the Company, but by what employees under him think about him in their casual chats.

If that Chat Sentiment is Positive, Stock is bound to rally.

It's all, what you give... you get back.

#ceos #stockprice #companyculture"
161,161,2021-01-30 ,Negative,"I wonder if firms and exchange will calculate #stockprice for $AMC over the weekend with all the insider trading and debt conversions, market conditions and announce a set share price Monday. Or reach that price wo speaking, by placing range trades #justathought #stocks #stonks"
162,162,2021-01-30 ,Neutral,Throwing another $500 on #TRXC on Monday offering is over we going to 🚀🚀🚀🚀🚀 Monday #stock #market #stockmarket #investing #investor #finance #Financial #medical #surgery #healthcare #robots #dd #stockprice #value #money
163,163,2021-01-18 ,Neutral,Our company‘s name is „K2Prime“…just in case you wanted it to mention in a tweet 😉 @elonmusk #stockprice #stockrocket
164,164,2021-01-04 ,Negative,"Finding it difficult to choose your next #csproject?

Here is a list of 6 project ideas which you can use.

 #computerscience #computerengineering #computerknowledge #softwaredeveloper #softwareengineer #facedetection #musicrecommendation #stockmarket #stockprice #datascience"
